Date,HPQ,JNJ,C,WMT,HD,INTC,MSFT,T,AIG,PFE,VZ,BAC,CVX,MDLZ,TRV,CSCO,UNH,GS,NKE,V,AAPL,WBA,AMGN,HON,CRM,JPM,CAT,KO,MCD,AXP,MRK,IBM,MMM,PG,GE,XOM,RTX,IP,AA,MO,DWDP,AMZN,NVDA,SHW,DIS
2001-01-02,8.199283599853516,27.064353942871094,274.19110107421875,11.623236656188965,27.257553100585938,17.6682071685791,13.345666885375977,7.194646835327148,0.0,0.0,14.116349220275879,0.0,17.60804557800293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.703765869140625,12.545941352844238,15.31745433807373,18.32299041748047,32.53195571899414,36.598846435546875,43.26270294189453,25.523609161376953,20.562129974365234,115.34950256347656,20.797197341918945,14.128987312316895,15.892741203308105,56.560909271240234,2.665670394897461,0.0,0.0,0.0,0.0,21.499496459960938
2001-01-03,9.232666015625,26.202016830444336,298.2846374511719,12.607569694519043,30.772254943847656,19.472352981567383,14.749462127685547,7.283909797668457,0.0,0.0,14.923998832702637,0.0,16.929338455200195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.154611587524414,12.596726417541504,14.923885345458984,18.425552368164062,35.049232482910156,35.07390213012695,48.268062591552734,25.229162216186523,19.547130584716797,126.06057739257812,19.892967224121094,14.105518341064453,16.547592163085938,57.32821273803711,2.4384214878082275,0.0,0.0,0.0,0.0,23.90435218811035
2001-01-04,9.385128021240234,25.638179779052734,302.3566589355469,12.122149467468262,30.921823501586914,19.2235107421875,14.90330982208252,7.391026496887207,0.0,0.0,15.362939834594727,0.0,16.570785522460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.837818145751953,13.18931770324707,14.498844146728516,18.04952049255371,33.95274353027344,33.45056915283203,47.53476333618164,25.483455657958984,18.941389083862305,126.7196273803711,19.338762283325195,13.812141418457031,17.177261352539062,59.191654205322266,2.3374223709106445,0.0,0.0,0.0,0.0,24.57771873474121
2001-01-05,8.300928115844727,25.969844818115234,291.4976806640625,11.636725425720215,29.762710571289062,18.237003326416016,15.114832878112793,7.141088008880615,0.0,0.0,15.327825546264648,0.0,16.698843002319336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31612777709961,12.427421569824219,14.530329704284668,18.015335083007812,32.30796432495117,32.786468505859375,47.94924545288086,24.533174514770508,19.628969192504883,124.74224090576172,19.4262638092041,13.354480743408203,16.723899841308594,58.09550094604492,2.315779447555542,0.0,0.0,0.0,0.0,24.241037368774414
2001-01-08,8.504213333129883,25.936683654785156,289.8009338378906,11.636725425720215,28.52883529663086,18.165897369384766,15.057141304016113,7.207225322723389,0.0,0.0,15.348337173461914,0.0,16.660415649414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.47139549255371,12.393556594848633,14.766472816467285,18.04952049255371,30.66320037841797,32.860260009765625,47.7260627746582,24.680389404296875,20.054628372192383,120.12823486328125,19.338762283325195,13.589183807373047,16.11942481994629,58.972415924072266,2.4275989532470703,0.0,0.0,0.0,0.0,23.18289566040039
2001-01-09,8.555039405822754,26.119091033935547,283.3533630371094,11.38051986694336,27.44450569152832,18.34364891052246,15.941723823547363,7.467834949493408,0.0,0.0,15.701981544494629,0.0,16.44271469116211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.191905975341797,12.376627922058105,14.955377578735352,18.08370590209961,29.410037994384766,33.05702590942383,47.21595001220703,24.29225730895996,19.547130584716797,117.65653991699219,19.13458251953125,13.260598182678223,15.439382553100586,56.7801399230957,2.503349781036377,0.0,0.0,0.0,0.0,23.18289566040039
2001-01-10,8.60586166381836,25.43917465209961,292.8550109863281,11.151297569274902,28.379274368286133,18.77023696899414,16.268638610839844,7.530740737915039,0.0,0.0,15.896489143371582,0.0,16.4171085357666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.309900283813477,12.207314491271973,14.892414093017578,18.15207290649414,29.253398895263672,32.73728561401367,47.662288665771484,24.05133819580078,19.334299087524414,117.82130432128906,18.901241302490234,13.56570816040039,15.363823890686035,57.437835693359375,2.5466361045837402,0.0,0.0,0.0,0.0,23.37528419494629
2001-01-11,8.77526569366455,24.527074813842773,298.62396240234375,11.205232620239258,29.351430892944336,18.98354721069336,16.92245864868164,7.530740737915039,0.0,0.0,15.772710800170898,0.0,16.686023712158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.893707275390625,12.30890941619873,14.451614379882812,17.878597259521484,29.997446060180664,32.12239456176758,47.789833068847656,24.011186599731445,19.055980682373047,122.76485443115234,19.076251983642578,13.870818138122559,15.2127046585083,55.24554443359375,2.402350425720215,0.0,0.0,0.0,0.0,22.701923370361328
2001-01-12,8.317867279052734,25.09092140197754,288.4434814453125,11.420970916748047,29.388816833496094,18.272554397583008,16.460935592651367,7.324046611785889,0.0,0.0,15.701981544494629,0.0,16.58358383178711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.489999771118164,11.834840774536133,14.262703895568848,18.391359329223633,30.036623001098633,32.048580169677734,47.853599548339844,23.489208221435547,18.417510986328125,120.45780181884766,19.32417106628418,13.272320747375488,14.885274887084961,55.79360580444336,2.4384214878082275,0.0,0.0,0.0,0.0,24.289133071899414
2001-01-16,8.233160972595215,24.991422653198242,296.9271545410156,11.798531532287598,29.239267349243164,17.8459529876709,16.172487258911133,7.198239803314209,0.0,0.0,15.38370132446289,0.0,16.596391677856445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.427873611450195,12.105727195739746,14.357158660888672,18.66484260559082,30.271577835083008,32.786468505859375,47.311614990234375,24.305641174316406,18.843162536621094,124.90704345703125,19.090829849243164,13.319267272949219,15.162335395812988,58.86280822753906,2.456458568572998,0.0,0.0,0.0,0.0,25.44346809387207
